Date;Code INSEE région;Région;TMin (°C);TMax (°C);TMoy (°C)
2016-03-29;52;Pays de la Loire;6.7;15.35;11.02
2016-04-01;52;Pays de la Loire;-0.5;14.95;7.22
2017-03-06;52;Pays de la Loire;7.2;11.5;9.35
2017-03-07;52;Pays de la Loire;6.4;11.0;8.7
2016-04-17;52;Pays de la Loire;2.7;13.05;7.88
2016-04-19;52;Pays de la Loire;4.2;18.6;11.4
2017-03-10;52;Pays de la Loire;7.0;18.65;12.82
2016-04-20;52;Pays de la Loire;9.15;18.75;13.95
2017-01-31;52;Pays de la Loire;10.4;13.8;12.1
2017-02-03;52;Pays de la Loire;6.0;10.0;8.0
2017-03-16;52;Pays de la Loire;5.05;21.3;13.18
2016-04-29;52;Pays de la Loire;2.95;14.45;8.7
2017-03-20;52;Pays de la Loire;9.0;13.15;11.08
2017-02-09;52;Pays de la Loire;-0.8;6.9;3.05
2017-02-10;52;Pays de la Loire;-0.7;5.75;2.52
2016-05-06;52;Pays de la Loire;9.65;22.35;16.0
2017-03-27;52;Pays de la Loire;6.3;20.1;13.2
2017-03-30;52;Pays de la Loire;7.55;23.8;15.68
2017-04-02;52;Pays de la Loire;6.2;16.65;11.42
2017-04-03;52;Pays de la Loire;3.4;20.05;11.73
2017-02-28;52;Pays de la Loire;3.9;10.4;7.15
2017-03-02;52;Pays de la Loire;3.4;12.6;8.0
2017-04-07;52;Pays de la Loire;3.05;19.25;11.15
2017-03-03;52;Pays de la Loire;7.8;17.15;12.48
2017-04-09;52;Pays de la Loire;7.7;27.3;17.5
2016-05-24;52;Pays de la Loire;5.75;19.1;12.42
2017-03-15;52;Pays de la Loire;8.3;13.85;11.08
2016-05-30;52;Pays de la Loire;12.9;19.4;16.15
2017-04-18;52;Pays de la Loire;3.5;15.1;9.3
2017-03-18;52;Pays de la Loire;5.25;14.15;9.7
2017-03-19;52;Pays de la Loire;9.8;13.65;11.72
2016-06-01;52;Pays de la Loire;13.05;17.95;15.5
2017-03-22;52;Pays de la Loire;3.15;9.3;6.22
2017-04-25;52;Pays de la Loire;6.25;10.25;8.25
2017-03-23;52;Pays de la Loire;3.3;10.05;6.68
2017-04-29;52;Pays de la Loire;1.8;19.05;10.42
2017-03-26;52;Pays de la Loire;5.6;17.4;11.5
2016-06-09;52;Pays de la Loire;15.2;26.5;20.85
2017-05-01;52;Pays de la Loire;6.1;15.05;10.58
2017-03-28;52;Pays de la Loire;5.3;18.1;11.7
2017-03-31;52;Pays de la Loire;12.25;18.1;15.18
2017-05-06;52;Pays de la Loire;11.8;16.95;14.38
2017-04-04;52;Pays de la Loire;4.55;15.6;10.07
2016-06-22;52;Pays de la Loire;16.1;25.15;20.62
2016-06-25;52;Pays de la Loire;13.35;21.35;17.35
2017-04-11;52;Pays de la Loire;5.05;17.35;11.2
2017-05-23;52;Pays de la Loire;11.65;25.35;18.5
2016-01-09;52;Pays de la Loire;5.55;13.2;9.38
2016-06-30;52;Pays de la Loire;16.0;22.9;19.45
2017-04-16;52;Pays de la Loire;8.45;16.6;12.52
2017-05-26;52;Pays de la Loire;15.85;31.25;23.55
2016-01-14;52;Pays de la Loire;3.95;8.95;6.45
2016-07-08;52;Pays de la Loire;13.9;26.65;20.27
2017-06-07;52;Pays de la Loire;10.1;20.8;15.45
2016-01-24;52;Pays de la Loire;6.95;16.3;11.62
2016-07-16;52;Pays de la Loire;11.8;28.2;20.0
2017-06-11;52;Pays de la Loire;12.35;26.15;19.25
2017-05-04;52;Pays de la Loire;6.8;17.85;12.32
2017-06-12;52;Pays de la Loire;12.25;24.1;18.18
2016-07-21;52;Pays de la Loire;17.8;25.75;21.78
2017-06-14;52;Pays de la Loire;14.95;30.3;22.62
2016-07-24;52;Pays de la Loire;13.3;27.95;20.62
2016-07-25;52;Pays de la Loire;16.7;26.9;21.8
2017-05-10;52;Pays de la Loire;7.2;22.05;14.62
2017-05-12;52;Pays de la Loire;11.2;19.8;15.5
2016-07-28;52;Pays de la Loire;17.65;25.4;21.52
2017-05-15;52;Pays de la Loire;9.5;25.7;17.6
2017-06-22;52;Pays de la Loire;17.15;31.4;24.28
