Années de comptage;Identifiant;Nom du lieu de comptage;Date complète;Date;Heure;Jour de la semaine;VAE;bicloo;Autres vélos;Total
2016;1003;Pont Audibert rive Nord;2016-09-29T14:00:00+02:00;2016-09-29;14:00:00;jeudi;7;20;227;254
2016;1004;Cours des 50 otages à l'intersection de la rue des halles;2016-09-29T14:00:00+02:00;2016-09-29;14:00:00;jeudi;11;33;287;331
2018;1002;Intersection de boulevards Michelet, Orrion et Orieux;2018-09-20T14:00:00+02:00;2018-09-20;14:00:00;jeudi;13;1;64;78
2013;1004;Cours des 50 otages à l'intersection de la rue des halles;2013-10-01T17:30:00+02:00;2013-10-01;17:30:00;mardi;14;78;327;419
2017;1004;Cours des 50 otages à l'intersection de la rue des halles;2017-09-28T17:30:00+02:00;2017-09-28;17:30:00;jeudi;14;82;632;728
2019;1003;Pont Audibert rive Nord;2019-09-26T14:00:00+02:00;2019-09-26;14:00:00;jeudi;16;41;188;245
2018;1000;Quai de la Fosse;2018-09-27T14:00:00+02:00;2018-09-27;14:00:00;jeudi;21;11;150;182
2014;1000;Quai de la Fosse;2014-09-25T17:30:00+02:00;2014-09-25;17:30:00;jeudi;22;55;301;378
2016;1004;Cours des 50 otages à l'intersection de la rue des halles;2016-09-22T17:30:00+02:00;2016-09-22;17:30:00;jeudi;24;46;551;621
2020;1001;Bd Kennedy devant le Chateau;2020-09-17T14:00:00+02:00;2020-09-17;14:00:00;jeudi;26;8;166;200
2016;1000;Quai de la Fosse;2016-09-22T17:30:00+02:00;2016-09-22;17:30:00;jeudi;35;48;475;558
2017;1003;Pont Audibert rive Nord;2017-09-21T17:30:00+02:00;2017-09-21;17:30:00;jeudi;35;67;601;703
2016;1004;Cours des 50 otages à l'intersection de la rue des halles;2016-09-29T17:30:00+02:00;2016-09-29;17:30:00;jeudi;35;107;632;774
2018;1003;Pont Audibert rive Nord;2018-09-20T17:30:00+02:00;2018-09-20;17:30:00;jeudi;48;46;724;818
2017;1004;Cours des 50 otages à l'intersection de la rue des halles;2017-09-21T17:30:00+02:00;2017-09-21;17:30:00;jeudi;68;131;579;778
2019;1003;Pont Audibert rive Nord;2019-09-19T17:30:00+02:00;2019-09-19;17:30:00;jeudi;80;61;790;931
2020;1004;Cours des 50 otages à l'intersection de la rue des halles;2020-09-17T14:00:00+02:00;2020-09-17;14:00:00;jeudi;98;55;335;488
2012;1002;Intersection de boulevards Michelet, Orrion et Orieux;2012-09-27T14:00:00+02:00;2012-09-27;14:00:00;jeudi;0;7;40;47
2010;1001;Bd Kennedy devant le Chateau;2010-09-22T14:00:00+02:00;2010-09-22;14:00:00;mercredi;0;12;101;113
2012;1003;Pont Audibert rive Nord;2012-09-27T14:00:00+02:00;2012-09-27;14:00:00;jeudi;0;19;106;125
2010;1002;Intersection de boulevards Michelet, Orrion et Orieux;2010-09-15T14:00:00+02:00;2010-09-15;14:00:00;mercredi;1;0;39;40
2010;1003;Pont Audibert rive Nord;2010-09-15T14:00:00+02:00;2010-09-15;14:00:00;mercredi;1;4;64;69
2011;1000;Quai de la Fosse;2011-09-22T14:00:00+02:00;2011-09-22;14:00:00;jeudi;1;10;87;98
2010;1003;Pont Audibert rive Nord;2010-09-22T14:00:00+02:00;2010-09-22;14:00:00;mercredi;1;13;112;126
2010;1002;Intersection de boulevards Michelet, Orrion et Orieux;2010-09-22T17:30:00+02:00;2010-09-22;17:30:00;mercredi;1;0;149;150
2011;1002;Intersection de boulevards Michelet, Orrion et Orieux;2011-09-29T17:30:00+02:00;2011-09-29;17:30:00;jeudi;1;2;164;167
