Numéro de boucle;Libellé;Jour;00;01;02;03;04;05;06;07;08;09;10;11;12;13;14;15;16;17;18;19;20;21;22;23;Probabilité de présence d'anomalies;Jour de la semaine
0681;Stalingrad vers est;2020-04-07;0;0;0;0;0;1;0;2;6;2;6;7;5;10;6;8;9;15;7;8;8;7;1;2;;2
0725;Pont Tabarly vers Sud;2020-04-07;0;0;1;1;0;1;4;1;6;2;0;5;5;5;5;4;5;5;5;4;2;1;1;0;;2
0674;Pont Haudaudine vers Sud;2020-04-07;1;0;0;0;0;0;1;4;8;9;4;5;11;8;6;5;9;10;14;13;7;6;1;0;;2
0847;Entrée pont Audibert vers Sud;2020-04-07;3;0;0;0;0;2;6;17;36;19;17;18;28;20;37;24;27;38;48;34;20;14;9;3;;2
0945;Magellan vers Ouest;2020-04-07;0;0;0;0;0;0;0;0;3;3;2;3;6;6;6;1;7;2;11;11;2;0;5;1;;2
0949;avenue de la Libération vers Sud;2020-04-07;1;1;0;0;0;0;1;1;2;2;2;0;5;5;1;4;6;7;8;12;4;5;2;1;;2
0960;Sorinières Vers Nord;2020-04-07;0;0;0;0;0;0;0;0;3;0;2;1;2;1;2;1;1;2;0;1;0;2;0;1;;2
0987;Tremie vers Est;2020-04-07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Forte;2
0995;Ceineray vers Ouest;2020-04-07;1;0;0;0;0;1;2;8;22;12;4;7;2;7;0;1;5;15;10;5;4;0;0;0;;2
0890;Pont de Pirmil vers Sud;2020-04-07;0;1;1;4;3;6;22;35;69;21;16;16;30;46;32;22;29;56;46;47;33;18;7;1;;2
0981;Pont Tabarly vers Nord;2020-04-07;0;0;0;0;0;3;0;0;0;0;2;2;3;6;2;2;1;2;1;0;2;1;2;0;;2
0677;Pont Willy Brandt vers Malakoff;2020-04-07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Forte;2
0683;pont Anne de Bretagne vers Nord;2020-04-07;1;0;0;0;0;0;6;9;18;9;4;8;5;16;9;6;10;11;17;8;4;3;1;0;;2
0744;Calvaire vers Est;2020-04-07;0;0;0;0;0;0;2;3;4;4;6;3;7;6;3;4;4;3;9;5;6;1;2;1;;2
0785;50 Otages Vers Sud;2020-04-07;1;1;0;0;0;4;12;33;79;20;22;21;34;36;32;10;27;33;27;20;21;16;6;2;;2
0669;De Gaulle sortie Clémenceau vers Nord;2020-04-07;0;0;0;0;1;0;11;6;20;5;3;4;1;4;1;6;8;8;11;9;7;5;2;0;;2
0665;Bonduelle vers Nord;2020-04-07;0;0;0;0;0;0;5;4;10;7;3;7;6;7;6;12;8;9;15;10;11;6;1;1;;2
0670;Pont de Pirmil vers Sud;2020-04-07;0;1;0;1;0;2;3;7;7;4;5;3;6;6;4;7;8;8;8;6;2;2;3;1;;2
0667;Entrée pont Audibert vers Nord;2020-04-07;1;1;0;1;2;6;25;49;64;30;18;12;27;43;18;12;14;38;43;29;28;16;6;2;;2
0680;Stalingrad vers ouest;2020-04-07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Forte;2
0881;Madeleine vers Sud;2020-04-07;0;0;0;1;2;6;10;36;25;17;10;12;22;32;11;16;20;43;56;37;28;17;5;2;;2
0959;Sorinières Vers Sud;2020-04-07;0;0;0;0;0;3;0;2;3;1;0;0;2;2;2;2;0;2;0;1;0;1;0;0;;2
0679;Bd Malakoff vers Gare Sud;2020-04-07;0;0;0;0;0;0;0;1;2;2;2;0;1;4;2;0;1;2;2;1;0;1;2;1;;2
0727;Pont Tabarly vers Nord;2020-04-07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Forte;2
0742;Philippot vers Est;2020-04-07;0;0;2;0;1;1;6;12;28;11;5;13;8;20;6;3;6;15;9;7;5;7;2;0;;2
0672;Pont de Pornic vers Nord;2020-04-07;0;0;0;0;0;2;3;8;22;6;3;3;8;6;2;4;4;8;12;9;3;0;1;1;;2
0675;Pont Haudaudine vers Nord;2020-04-07;0;0;0;0;0;0;9;12;29;11;7;9;13;9;7;7;10;14;21;5;5;6;8;1;;2
0746;Chemin de halage Tortière vers Sud;2020-04-07;0;0;0;0;0;1;0;4;3;1;0;0;0;2;0;2;3;5;3;1;1;2;0;1;;2
0666;Pont Audibert vers Sud;2020-04-06;0;0;0;0;1;0;0;3;6;3;4;2;2;0;5;4;9;10;13;5;5;7;1;0;;1
0677;Pont Willy Brandt vers Malakoff;2020-04-06;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Forte;1
0683;pont Anne de Bretagne vers Nord;2020-04-06;2;0;0;0;0;0;3;4;21;7;5;5;4;9;6;8;10;15;7;5;3;1;1;0;;1
0946;Magellan vers Est;2020-04-06;1;0;0;0;0;0;0;1;11;11;0;0;7;8;6;1;3;8;6;9;4;0;0;0;;1
0670;Pont de Pirmil vers Sud;2020-04-06;0;0;0;0;1;0;3;5;8;4;4;3;8;5;1;4;3;4;9;4;3;1;0;0;;1
0997;Van Iseghem vers Sud;2020-04-06;0;0;0;0;0;1;0;3;11;3;4;2;3;7;1;1;4;6;3;5;1;0;1;0;;1
0945;Magellan vers Ouest;2020-04-06;0;0;0;0;0;0;0;1;8;3;1;2;5;2;3;3;1;6;16;2;3;0;1;2;;1
0959;Sorinières Vers Sud;2020-04-06;0;0;0;0;1;0;2;2;2;1;2;0;0;2;1;0;1;0;1;0;0;1;0;0;;1
0746;Chemin de halage Tortière vers Sud;2020-04-06;0;0;0;0;0;0;0;2;6;0;2;1;6;2;0;0;6;2;4;4;0;0;1;0;;1
0675;Pont Haudaudine vers Nord;2020-04-06;0;0;0;0;0;1;4;9;21;10;7;7;10;12;8;10;6;10;17;9;8;5;3;1;;1
0725;Pont Tabarly vers Sud;2020-04-06;0;0;1;3;1;1;3;4;7;1;1;4;1;4;2;6;4;3;3;6;2;1;1;1;;1
0682;pont Anne de Bretagne vers Sud;2020-04-06;0;0;0;0;0;1;0;4;10;3;4;5;11;7;3;4;9;17;12;9;5;2;0;1;;1
0880;Madeleine vers Nord;2020-04-06;2;0;0;0;1;0;11;21;42;26;10;11;18;21;20;12;19;19;17;20;20;9;2;1;;1
0950;avenue de la Libération vers Nord;2020-04-06;0;0;0;0;1;0;6;6;11;6;6;4;6;4;3;6;4;3;7;5;7;2;1;1;;1
0980;Pont Tabarly vers Sud;2020-04-06;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Forte;1
